name,href,category,sub-category
PACER Postsecondary Education,https://www.pacer.org/transition/learning-center/postsecondary/,Education,Education Quick Links; Transitional Programs vs. Higher Education
Understood.org Types of Colleges,https://www.understood.org/en/school-learning/choosing-starting-school/leaving-high-school/types-of-colleges-and-how-they-differ?_ul=1*1lidpcv*domain_userid*YW1wLTk5b2xabFZnUzMwYXAwX2hNUVFwcXc.,Education,Education Quick Links; Transitional Programs vs. Higher Education
Inclusive Postsecondary Education,https://www.pacer.org/transition/learning-center/postsecondary/college-options.asp,Education,Education Quick Links
Think College Search,https://thinkcollege.net/college-search?task=searchform&f%5B0%5D=tc_state_province%3APennsylvania,Education,Education Quick Links
Office of Vocational Rehabiliation (OVR) Transition Programs,https://www.dli.pa.gov/Individuals/Disability-Services/ovr/Pages/Transition-from-School-to-Work.aspx,Education; Employment,Education Quick Links; Vocational & Trade School; Vocational Training Programs
"Career Studies, Penn State Harrisburg",http://harrisburg.psu.edu/career-studies-program,Education,Vocational & Trade School
UPMC Vocational Training Center and Supported Employment Program,https://www.upmc.com/services/behavioral-health/autism/adult/vocational-training,Education; Employment,Vocational & Trade School; Vocational Training Programs
Browse Trade Schools in Your State,https://www.trade-schools.net/locations/pennsylvania-schools-directory#featured-schools,Education,Vocational & Trade School
Bucks County Community College (AACHIEVE program),https://www.bucks.edu/resources/campusresources/accessibility/aachieve!/,Education,Community College
Leigh Carbon Community College (SEED program),https://www.lccc.edu/student-experience/disability-services/seed-program,Education,Community College
Edinboro University Autism Support Initiative,https://www.edinboro.edu/life-at-the-boro/support-and-services/accessibility-services/basis.php,Education,Four Year College
Indiana University of Pennsylvania Labrynth Center for Autism Support,https://www.iup.edu/labyrinth/,Education,Four Year College
Kutztown University – My Place (Autism Services),https://www.kutztown.edu/about-ku/administrative-offices/disability-services-(dso)/accommodations/autism-services-(my-place).html,Education,Four Year College
Slippery Rock University - ATLAS Program (Autism Transitions for Learning Achievement and Support),https://www.sru.edu/academics/academic-services/services-for-students-with-disabilities/specialized-services,Education,Four Year College
West Chester University – D-CAP (Dub-C Autism Program),https://www.wcupa.edu/viceProvost/dcap/,Education,Four Year College
"Compass, Duquense University",https://thinkcollege.net/programs/compass-0,Education,Four Year College
CLASS PA Community Skill Building,https://www.classcommunity.org/services/adult/skill-building,Education,Transitional Programs
PA Mentor Day programs,https://www.pa-mentor.com/who-we-serve/adults-with-disabilities/day-programs/,Education; Day Programs,Transitional Programs; Day Programs
Wesley Family Services Bridge Transition program,https://wfspa.org/service/the-bridge-program/,Education,Transitional Programs
Strive Autism Transition Coaching and counseling (private),http://www.striveacc.com/index.html#services,Education,Transitional Programs
Project AACHIEVE,https://www.pattan.net/Disabilities/Autism/Video-Resources-1,Education,Transitional Programs
Finding Your Way: A College Guide for Students on the Spectrum,https://researchautism.org/findingyourway/,Education,Transitional Programs vs. Higher Education
Find your nearest American Job Center,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers-details.aspx?location=pa&radius=25&ct=0&y=0&w=0&e=0&sortcolumns=Location&sortdirections=ASC&curPage=1&pagesize=100&olds=0&return=1&persist=true&ajax=0&centerID=38911&dist=&locationSelected=,Employment,Employment Quick Links
PACER Employment Resources,https://www.pacer.org/transition/learning-center/employment/,Employment,Employment Quick Links; Employment Skills and Tips
PA Career Link,https://www.pacareerlink.pa.gov/jponline/,Employment,Employment Quick Links; Job Postings
Hiram G Andrews Center,https://www.dli.pa.gov/Individuals/Disability-Services/hgac/Pages/About-HGAC.aspx,Employment; Independent Living,Vocational Training Programs; Residential Programs
12 Steps for Easing the Transition into the Workplace,https://www.understood.org/en/school-learning/choosing-starting-school/leaving-high-school/12-steps-for-easing-the-transition-to-work,Employment,Employment Skills and Tips
Employment Stories,https://www.pacer.org/students/transition-to-life/employment-stories.asp,Employment,Employment Skills and Tips
PA CareerLink: Individuals with Disabilities,https://www.pacareerlink.pa.gov/jponline/Persona/PersonaPage/IndividualDisabilities,Employment,Job Postings
5 inclusive workplaces in Pennsylvania,https://www.pathwaysofpa.com/5-great-companies-that-employ-adults-with-special-needs/,Employment,Inclusive Workplaces
Inclusive companies and corporations,https://www.mycil.org/the-best-places-to-work-if-you-have-a-disability/,Employment,Inclusive Workplaces
MyFuture,https://myfuture.com/career,Employment,Career Aptitude Tools
Finding Your Career Path,https://www.pacer.org/transition/learning-center/employment/finding-career-path.asp,Employment,Career Aptitude Tools
Find your Career Superstar,https://www.understood.org/en/young-adults/career-compass/quiz-find-your-career-superstar?_ul=1*1vagy52*domain_userid*YW1wLTk5b2xabFZnUzMwYXAwX2hNUVFwcXc.,Employment,Career Aptitude Tools
Employment Resource Guide,https://mn.gov/deed/assets/employment-resource-guide_tcm1045-290595.pdf,Employment,Career Aptitude Tools
Career One Stop Toolkit,https://www.careeronestop.org/Toolkit/Careers/careers.aspx,Employment,Career Aptitude Tools
COMPASS Provider Search,https://www.compass.state.pa.us/Compass.Web/EPProviderSearch/Pgm/EPWEL.aspx,Independent Living,Independent Living Quick Links
PA Housing Services Database,https://navigateresources.net/penn/MatchList.aspx?c;;0;;N;0;114138;Disability%20Services;Housing;1376;Supported%20Living%20Services%20for%20Adults%20With%20Disabilities,Independent Living,Independent Living Quick Links; Group Homes
CLASS PA Community Skill Building,https://www.classcommunity.org/services/adult/skill-building,Independent Living,Living at Home
Self Sufficiency,https://www.pacer.org/transition/learning-center/independent-community-living/self-determination.asp,Independent Living,Living at Home
Guardianship,https://www.disabilityrightspa.org/wp-content/uploads/2018/03/CCSDM-11E.pdf,Independent Living,Living at Home
Support,https://www.dhs.pa.gov/Services/Assistance/Pages/Home-and-Community-Based%20Services.aspx,Independent Living,Living at Home
Financial Planning,https://futureplanning.thearc.org/pages/learn/where-to-start/financing-the-future,Independent Living,Living at Home
Fulfillment and Recreation,https://transition-guide-admin.s3.amazonaws.com/files/2013/03/07/2012%20Recreation%20and%20Leisure%20PA%20Guide.pdf,Independent Living,Living at Home
PA MENTOR Life-sharing program,https://www.pa-mentor.com/who-we-serve/adults-with-disabilities/lifesharing-program/,Independent Living,Assisted Living
PA MENTOR supported living,https://www.pa-mentor.com/who-we-serve/adults-with-disabilities/supported-living/,Independent Living,Assisted Living
About Assisted Living Options,https://www.assistedliving.org/assisted-living-options-for-people-with-disabilities/,Independent Living,Assisted Living
Easter Seals Central and Western PA community homes,https://www.easterseals.com/wcpenna/our-programs/adult-services/residential-housing/residential-housing.html,Independent Living; Day Programs,Group Homes; Day Programs
Merakey (various locations),https://www.merakey.org/locations?state=PA&services=intellectual-and-developmental-disabilities-services&radius=25#search-results,Independent Living,Group Homes
WFS Residential Support Program,https://wfspa.org/service/idd-residential-program/,Independent Living,Residential Programs
Bancroft Community Living,https://www.bancroft.org/adult-services/community-living-adults/,Independent Living,Residential Programs
Background on Integrated Community Living,https://www.hud.gov/program_offices/fair_housing_equal_opp/integrated_community_based_settings,Independent Living,Integrated Community Living
Why Choose an Integrated Community?,https://udservices.org/blog/community-integration-people-with-disabilities/,Independent Living,Integrated Community Living
"Step by Step, Inc",https://stepbystepusa.com/,Day Programs,Day Programs
Browse Day Programs in 2-1-1 Database,https://www.pa211.org/get-help/older-adults/adult-day-programs/,Day Programs,Day Programs
Adult Day Services Overview,https://www.nadsa.org/learn-more/about-adult-day-services/,Day Programs,Types of Day Programs
PA DHS disability resources,https://www.dhs.pa.gov/Services/Disabilities-Aging/Pages/default.aspx,Know Your Rights,Know Your Rights Quick Links
Disability Rights Pennsylvania resources,https://www.disabilityrightspa.org/resources/,Know Your Rights,Legal Rights
the IDEA Act,"https://sites.ed.gov/idea/about-idea/#:~:text=The%20Individuals%20with%20Disabilities%20Education,related%20services%20to%20those%20children.",Know Your Rights,Legal Rights
the Higher Education Opportunity Act (HEOA),https://www2.ed.gov/policy/highered/leg/hea08/index.html,Know Your Rights,Legal Rights
the ADA Act,https://adata.org/learn-about-ada,Know Your Rights,Legal Rights
Employment Rights and Accomodations List,https://www.pacer.org/transition/learning-center/employment/employment-rights.asp,Know Your Rights,Legal Rights
Self Advocacy and Disability Disclosure,https://www.pacer.org/transition/learning-center/employment/self-advocacy.asp,Know Your Rights,Legal Rights
Adult Autism Waiver,https://www.dhs.pa.gov/Services/Disabilities-Aging/Pages/Adult%20Autism%20Waiver.aspx,Know Your Rights,Funding
Community Living Waiver,https://www.dhs.pa.gov/Services/Disabilities-Aging/Pages/Community-Living-Waiver.aspx,Know Your Rights,Funding
Consolidated Waiver,https://www.dhs.pa.gov/Services/Disabilities-Aging/Pages/Consolidated-Waiver.aspx,Know Your Rights,Funding
Person/Family Directed Support Waiver,https://www.dhs.pa.gov/Services/Disabilities-Aging/Pages/PFDS-Waiver.aspx,Know Your Rights,Funding
ABLE Act National Resource Center,https://www.ablenrc.org/state-review/pennsylvania/,Know Your Rights,Funding